product_name,quantity_sold,sale_price,sale_date
Pod Kit,15,54.56,2023-04-18
Nicotine Pods,11,65.53,2023-04-18
Battery 18650,5,25.36,2023-04-19
Nicotine Pods,16,45.94,2023-04-19
Replacement Coils,8,19.08,2023-04-19
Cotton Wicking,17,23.97,2023-04-19
Battery 18650,2,18.72,2023-04-19
Zero Nicotine 30ml,8,23.41,2023-04-19
Charger,1,15.36,2023-04-19
Charger,4,19.95,2023-04-19
Tank Glass,5,22.89,2023-04-19
Tank Glass,5,5.0,2023-04-19
Chargers,10,38.1,2023-04-19
Zero Nicotine 30ml,4,32.81,2023-04-19
Drip Tips,5,22.12,2023-04-19
Vape Juice 60ml,16,30.69,2023-04-19
Pod Kit,4,48.5,2023-04-19
Pod Kit,7,55.36,2023-04-19
Pod Kit,4,48.68,2023-04-19
Vape Mod XL,8,55.11,2023-04-19
Starter Kit,5,23.99,2023-04-19
E-Liquid Premium,20,44.95,2023-04-19
Atomizers,1,44.55,2023-04-19
Atomizers,2,60.38,2023-04-19
Atomizers,2,72.31,2023-04-19
Vape Juice 30ml,10,39.12,2023-04-19
Vape Juice 30ml,7,60.34,2023-04-19
Tanks,13,24.26,2023-04-19
Replacement Coils,14,11.58,2023-04-20
Cotton Wicking,6,41.36,2023-04-20
Cotton Wicking,3,24.0,2023-04-20
Batteries,10,37.84,2023-04-20
Battery 18650,6,37.61,2023-04-20
Charger,7,8.84,2023-04-20
Chargers,5,32.35,2023-04-20
Tank Glass,4,8.67,2023-04-20
Tank Glass,3,5.0,2023-04-20
Drip Tips,5,55.1,2023-04-20
Nicotine Pods,4,85.72,2023-04-20
Chargers,6,15.71,2023-04-20
Nicotine Pods,5,37.27,2023-04-20
Nicotine Pods,5,50.97,2023-04-20
E-Liquid Premium,23,39.08,2023-04-20
Pod Kit,4,61.21,2023-04-20
Pod Kit,8,48.75,2023-04-20
Pod Kit,4,57.01,2023-04-20
Starter Kit,7,41.23,2023-04-20
Tanks,6,70.09,2023-04-20
Vape Mod XL,11,39.4,2023-04-20
Tanks,6,57.81,2023-04-20
Atomizers,9,66.73,2023-04-20
Vape Juice 30ml,19,51.79,2023-04-20
Vape Juice 60ml,20,41.12,2023-04-20
Tanks,7,47.73,2023-04-20
Batteries,19,74.97,2023-04-21
Cotton Wicking,5,38.17,2023-04-21
Cotton Wicking,5,13.28,2023-04-21
Cotton Wicking,7,10.56,2023-04-21
Battery 18650,12,16.97,2023-04-21
Drip Tips,7,30.24,2023-04-21
Chargers,4,53.41,2023-04-21
Chargers,8,42.71,2023-04-21
Charger,8,22.91,2023-04-21
Tank Glass,14,20.2,2023-04-21
Replacement Coils,8,16.75,2023-04-21
Drip Tips,4,24.59,2023-04-21
Replacement Coils,8,22.79,2023-04-21
Chargers,8,36.67,2023-04-21
Zero Nicotine 30ml,14,32.22,2023-04-21
Nicotine Pods,24,53.6,2023-04-21
Pod Kit,29,62.14,2023-04-21
Vape Mod XL,5,52.08,2023-04-21
Starter Kit,9,47.22,2023-04-21
Tanks,21,68.55,2023-04-21
Atomizers,17,49.18,2023-04-21
Vape Mod XL,6,42.72,2023-04-21
Vape Juice 30ml,8,51.33,2023-04-21
Vape Juice 30ml,8,43.9,2023-04-21
Vape Juice 60ml,23,38.44,2023-04-21
E-Liquid Premium,13,57.52,2023-04-21
E-Liquid Premium,14,50.68,2023-04-21
Vape Juice 30ml,8,57.77,2023-04-21
Replacement Coils,18,13.71,2023-04-22
Drip Tips,9,15.67,2023-04-22
Charger,7,14.65,2023-04-22
Chargers,7,41.06,2023-04-22
Chargers,6,36.05,2023-04-22
Chargers,3,39.47,2023-04-22
Battery 18650,6,16.33,2023-04-22
Battery 18650,9,19.86,2023-04-22
Batteries,16,43.76,2023-04-22
Zero Nicotine 30ml,9,28.89,2023-04-22
Tank Glass,15,17.99,2023-04-22
E-Liquid Premium,21,29.09,2023-04-22
Vape Juice 60ml,8,9.79,2023-04-22
Vape Juice 60ml,6,34.8,2023-04-22
Vape Juice 60ml,6,27.6,2023-04-22
Atomizers,17,51.68,2023-04-22
Starter Kit,7,51.12,2023-04-22
Vape Mod XL,5,35.34,2023-04-22
Vape Mod XL,5,51.46,2023-04-22
Pod Kit,7,45.25,2023-04-22
Pod Kit,9,48.45,2023-04-22
Zero Nicotine 30ml,8,28.72,2023-04-22
Replacement Coils,5,15.04,2023-04-23
Replacement Coils,4,14.54,2023-04-23
Replacement Coils,6,27.08,2023-04-23
Batteries,12,29.47,2023-04-23
Battery 18650,13,12.84,2023-04-23
Drip Tips,4,36.14,2023-04-23
Charger,4,9.39,2023-04-23
Charger,4,29.01,2023-04-23
Tank Glass,13,12.44,2023-04-23
Drip Tips,3,27.3,2023-04-23
Chargers,18,25.96,2023-04-23
Nicotine Pods,5,51.53,2023-04-23
Nicotine Pods,5,72.04,2023-04-23
Vape Juice 60ml,26,44.09,2023-04-23
Nicotine Pods,4,21.64,2023-04-23
Vape Mod XL,4,37.02,2023-04-23
Vape Mod XL,5,44.47,2023-04-23
Vape Mod XL,6,60.2,2023-04-23
Pod Kit,26,54.89,2023-04-23
Tanks,9,44.83,2023-04-23
Tanks,11,64.51,2023-04-23
Vape Juice 30ml,13,40.11,2023-04-23
Vape Juice 30ml,13,24.12,2023-04-23
Starter Kit,8,19.19,2023-04-23
Battery 18650,5,20.29,2023-04-24
Drip Tips,5,38.32,2023-04-24
Tank Glass,9,30.75,2023-04-24
Charger,5,24.23,2023-04-24
Chargers,3,27.53,2023-04-24
Chargers,6,43.6,2023-04-24
Chargers,5,61.36,2023-04-24
Battery 18650,6,22.01,2023-04-24
Batteries,14,63.77,2023-04-24
Replacement Coils,9,5.0,2023-04-24
Cotton Wicking,16,37.07,2023-04-24
Zero Nicotine 30ml,16,8.59,2023-04-24
E-Liquid Premium,12,32.57,2023-04-24
E-Liquid Premium,13,38.59,2023-04-24
Vape Juice 60ml,20,37.61,2023-04-24
Starter Kit,1,39.73,2023-04-24
Starter Kit,4,41.32,2023-04-24
Vape Mod XL,8,71.03,2023-04-24
Cotton Wicking,18,5.0,2023-04-25
Batteries,5,50.42,2023-04-25
Batteries,7,20.27,2023-04-25
Batteries,4,42.27,2023-04-25
Battery 18650,4,14.25,2023-04-25
Drip Tips,4,27.5,2023-04-25
Chargers,10,25.19,2023-04-25
Charger,9,24.59,2023-04-25
Replacement Coils,14,26.56,2023-04-25
Drip Tips,4,21.27,2023-04-25
Battery 18650,7,17.54,2023-04-25
Zero Nicotine 30ml,7,14.5,2023-04-25
Nicotine Pods,15,27.73,2023-04-25
Vape Mod XL,7,72.31,2023-04-25
E-Liquid Premium,7,34.12,2023-04-25
E-Liquid Premium,9,35.93,2023-04-25
E-Liquid Premium,8,56.28,2023-04-25
Vape Juice 60ml,10,31.04,2023-04-25
Vape Juice 60ml,13,38.44,2023-04-25
Vape Juice 30ml,9,52.8,2023-04-25
Vape Juice 30ml,10,53.95,2023-04-25
Atomizers,15,69.92,2023-04-25
Tanks,14,92.06,2023-04-25
Starter Kit,6,41.69,2023-04-25
Zero Nicotine 30ml,11,24.61,2023-04-25
Replacement Coils,4,16.96,2023-04-26
Cotton Wicking,9,37.93,2023-04-26
Batteries,13,20.67,2023-04-26
Battery 18650,6,21.87,2023-04-26
Replacement Coils,7,17.89,2023-04-26
Chargers,14,36.09,2023-04-26
Charger,7,18.12,2023-04-26
Drip Tips,4,31.87,2023-04-26
Drip Tips,3,34.07,2023-04-26
Battery 18650,4,15.75,2023-04-26
Nicotine Pods,17,73.23,2023-04-26
Cotton Wicking,13,14.2,2023-04-26
E-Liquid Premium,9,46.46,2023-04-26
Pod Kit,14,66.6,2023-04-26
Vape Mod XL,7,37.93,2023-04-26
Starter Kit,8,31.04,2023-04-26
Tanks,7,60.99,2023-04-26
Tanks,5,43.54,2023-04-26
Zero Nicotine 30ml,11,28.86,2023-04-26
Vape Juice 30ml,34,48.37,2023-04-26
Vape Juice 60ml,11,26.39,2023-04-26
Vape Juice 60ml,10,45.55,2023-04-26
E-Liquid Premium,11,44.78,2023-04-26
Atomizers,13,82.36,2023-04-26
Nicotine Pods,14,52.89,2023-04-27
Replacement Coils,3,26.14,2023-04-27
Replacement Coils,7,15.21,2023-04-27
Replacement Coils,4,16.24,2023-04-27
Cotton Wicking,20,30.31,2023-04-27
Batteries,18,28.74,2023-04-27
Chargers,5,61.26,2023-04-27
Chargers,4,12.15,2023-04-27
Charger,7,17.8,2023-04-27
Tank Glass,15,18.4,2023-04-27
Nicotine Pods,13,43.86,2023-04-27
Drip Tips,3,35.72,2023-04-27
Battery 18650,14,10.78,2023-04-27
Drip Tips,2,18.73,2023-04-27
Zero Nicotine 30ml,14,6.65,2023-04-27
E-Liquid Premium,13,63.01,2023-04-27
E-Liquid Premium,12,59.4,2023-04-27
Pod Kit,8,57.62,2023-04-27
Pod Kit,6,53.96,2023-04-27
Pod Kit,6,61.08,2023-04-27
Vape Mod XL,5,35.09,2023-04-27
Vape Mod XL,4,66.54,2023-04-27
Starter Kit,3,39.99,2023-04-27
Starter Kit,2,33.6,2023-04-27
Tanks,9,61.92,2023-04-27
Tanks,11,81.05,2023-04-27
Vape Juice 60ml,28,41.14,2023-04-27
Starter Kit,2,27.1,2023-04-27
Battery 18650,10,19.14,2023-04-28
Batteries,13,32.7,2023-04-28
Batteries,14,67.13,2023-04-28
Battery 18650,6,20.81,2023-04-28
Chargers,9,46.35,2023-04-28
Replacement Coils,10,29.09,2023-04-28
Charger,9,15.19,2023-04-28
Tank Glass,5,11.58,2023-04-28
Tank Glass,7,17.71,2023-04-28
Drip Tips,9,39.06,2023-04-28
Chargers,8,27.24,2023-04-28
Replacement Coils,8,20.22,2023-04-28
Cotton Wicking,21,31.32,2023-04-28
Nicotine Pods,16,34.73,2023-04-28
Vape Mod XL,7,39.16,2023-04-28
Starter Kit,6,33.42,2023-04-28
Starter Kit,6,52.68,2023-04-28
Tanks,6,46.7,2023-04-28
Tanks,10,34.04,2023-04-28
Vape Mod XL,5,34.01,2023-04-28
Vape Juice 30ml,36,71.43,2023-04-28
Atomizers,15,56.75,2023-04-28
E-Liquid Premium,29,55.59,2023-04-28
Nicotine Pods,13,22.81,2023-04-28
Vape Juice 60ml,18,27.66,2023-04-28
Vape Juice 60ml,18,54.38,2023-04-28
Cotton Wicking,12,30.54,2023-04-29
Drip Tips,5,52.08,2023-04-29
Drip Tips,3,29.93,2023-04-29
Charger,12,12.2,2023-04-29
Chargers,9,43.47,2023-04-29
Chargers,8,55.66,2023-04-29
Battery 18650,7,17.52,2023-04-29
Battery 18650,6,13.42,2023-04-29
Battery 18650,4,19.37,2023-04-29
Cotton Wicking,10,30.62,2023-04-29
Drip Tips,3,13.26,2023-04-29
Tank Glass,11,15.3,2023-04-29
Cotton Wicking,9,20.01,2023-04-29
Replacement Coils,11,11.35,2023-04-29
Replacement Coils,8,20.52,2023-04-29
Vape Mod XL,16,64.74,2023-04-29
Starter Kit,14,31.11,2023-04-29
Atomizers,6,41.85,2023-04-29
Atomizers,7,64.87,2023-04-29
Tanks,26,36.51,2023-04-29
Vape Juice 30ml,19,54.19,2023-04-29
Vape Juice 30ml,19,53.16,2023-04-29
E-Liquid Premium,22,36.42,2023-04-29
E-Liquid Premium,20,43.79,2023-04-29
Nicotine Pods,23,24.94,2023-04-29
Atomizers,5,21.77,2023-04-29
Replacement Coils,6,26.91,2023-04-30
Zero Nicotine 30ml,6,34.07,2023-04-30
Zero Nicotine 30ml,8,36.57,2023-04-30
Zero Nicotine 30ml,6,35.4,2023-04-30
Nicotine Pods,29,38.18,2023-04-30
Replacement Coils,6,27.09,2023-04-30
Drip Tips,4,28.45,2023-04-30
Cotton Wicking,10,44.11,2023-04-30
Batteries,24,21.82,2023-04-30
Battery 18650,17,24.86,2023-04-30
Charger,12,13.65,2023-04-30
Drip Tips,6,46.36,2023-04-30
Cotton Wicking,10,5.0,2023-04-30
E-Liquid Premium,13,53.05,2023-04-30
Vape Juice 60ml,8,35.5,2023-04-30
Vape Juice 60ml,8,5.0,2023-04-30
Vape Mod XL,7,50.0,2023-04-30
Vape Mod XL,10,53.08,2023-04-30
Starter Kit,10,37.52,2023-04-30
Tanks,6,77.13,2023-04-30
Tanks,10,62.46,2023-04-30
Pod Kit,27,50.99,2023-04-30
Atomizers,10,65.41,2023-04-30
Atomizers,8,64.98,2023-04-30
Vape Juice 60ml,11,44.22,2023-04-30
E-Liquid Premium,16,54.83,2023-04-30
Vape Juice 30ml,18,38.86,2023-04-30
Vape Juice 30ml,15,18.06,2023-04-30
Zero Nicotine 30ml,19,26.94,2023-05-01
Drip Tips,7,44.53,2023-05-01
Tank Glass,10,5.0,2023-05-01
Charger,6,16.5,2023-05-01
Battery 18650,4,10.31,2023-05-01
Battery 18650,4,17.08,2023-05-01
Battery 18650,1,17.19,2023-05-01
Batteries,7,73.97,2023-05-01
Batteries,6,41.91,2023-05-01
Replacement Coils,16,8.36,2023-05-01
Chargers,10,25.72,2023-05-01
E-Liquid Premium,21,32.58,2023-05-01
Vape Juice 60ml,9,35.62,2023-05-01
Vape Juice 30ml,10,22.0,2023-05-01
Vape Juice 30ml,8,42.48,2023-05-01
Vape Juice 30ml,11,31.44,2023-05-01
Atomizers,3,23.72,2023-05-01
Atomizers,5,38.05,2023-05-01
Atomizers,4,90.83,2023-05-01
Tanks,17,74.39,2023-05-01
Pod Kit,12,44.97,2023-05-01
Pod Kit,14,70.12,2023-05-01
Vape Juice 60ml,11,30.5,2023-05-01
Cotton Wicking,5,21.35,2023-05-02
Cotton Wicking,7,31.69,2023-05-02
Battery 18650,10,27.53,2023-05-02
Chargers,6,27.14,2023-05-02
Chargers,3,38.67,2023-05-02
Drip Tips,4,21.86,2023-05-02
Charger,1,20.39,2023-05-02
Tank Glass,8,20.76,2023-05-02
Drip Tips,3,21.36,2023-05-02
Drip Tips,3,23.07,2023-05-02
Replacement Coils,5,21.03,2023-05-02
Charger,2,15.84,2023-05-02
Batteries,11,68.57,2023-05-02
Replacement Coils,5,16.29,2023-05-02
Zero Nicotine 30ml,12,32.4,2023-05-02
Vape Mod XL,11,28.16,2023-05-02
Starter Kit,7,33.89,2023-05-02
Tanks,12,71.1,2023-05-02
Atomizers,14,59.0,2023-05-02
Vape Juice 30ml,31,23.58,2023-05-02
Pod Kit,25,53.69,2023-05-02
E-Liquid Premium,6,78.31,2023-05-02
E-Liquid Premium,7,51.0,2023-05-02
Nicotine Pods,23,50.29,2023-05-02
E-Liquid Premium,8,27.72,2023-05-02
Vape Juice 60ml,21,26.63,2023-05-02
Zero Nicotine 30ml,9,64.42,2023-05-03
Drip Tips,7,43.36,2023-05-03
Charger,9,19.27,2023-05-03
Chargers,13,47.87,2023-05-03
Battery 18650,9,12.82,2023-05-03
Batteries,8,37.26,2023-05-03
Batteries,8,25.33,2023-05-03
Cotton Wicking,14,43.54,2023-05-03
Replacement Coils,15,10.43,2023-05-03
Nicotine Pods,17,43.79,2023-05-03
Zero Nicotine 30ml,9,27.0,2023-05-03
E-Liquid Premium,23,49.77,2023-05-03
Vape Juice 60ml,24,25.58,2023-05-03
Vape Juice 30ml,25,41.53,2023-05-03
Atomizers,2,44.5,2023-05-03
Atomizers,4,49.59,2023-05-03
Atomizers,3,60.25,2023-05-03
Tanks,20,62.07,2023-05-03
Starter Kit,6,32.25,2023-05-03
Vape Mod XL,11,55.23,2023-05-03
Pod Kit,3,77.16,2023-05-03
Pod Kit,6,51.05,2023-05-03
Pod Kit,4,62.53,2023-05-03
Replacement Coils,4,31.71,2023-05-04
Replacement Coils,3,13.22,2023-05-04
Cotton Wicking,8,25.34,2023-05-04
Cotton Wicking,8,10.6,2023-05-04
Batteries,12,7.51,2023-05-04
Drip Tips,7,26.39,2023-05-04
Battery 18650,8,19.08,2023-05-04
Chargers,14,50.41,2023-05-04
Charger,7,30.38,2023-05-04
Tank Glass,11,26.05,2023-05-04
Replacement Coils,2,19.68,2023-05-04
Batteries,11,23.54,2023-05-04
Nicotine Pods,22,45.18,2023-05-04
E-Liquid Premium,14,51.56,2023-05-04
Vape Mod XL,10,71.66,2023-05-04
Pod Kit,23,50.72,2023-05-04
Zero Nicotine 30ml,16,33.57,2023-05-04
Starter Kit,4,39.4,2023-05-04
Starter Kit,6,25.51,2023-05-04
Tanks,3,56.93,2023-05-04
Tanks,6,61.68,2023-05-04
Atomizers,10,96.77,2023-05-04
Atomizers,9,70.9,2023-05-04
Vape Juice 30ml,36,62.87,2023-05-04
Vape Juice 60ml,28,36.48,2023-05-04
E-Liquid Premium,11,48.46,2023-05-04
Tanks,6,60.36,2023-05-04
Replacement Coils,21,19.33,2023-05-05
Zero Nicotine 30ml,8,43.34,2023-05-05
Nicotine Pods,32,52.57,2023-05-05
Cotton Wicking,9,44.81,2023-05-05
E-Liquid Premium,17,49.59,2023-05-05
Batteries,27,61.25,2023-05-05
Chargers,16,39.33,2023-05-05
Charger,4,12.52,2023-05-05
Charger,3,22.87,2023-05-05
Cotton Wicking,9,17.3,2023-05-05
Zero Nicotine 30ml,10,49.41,2023-05-05
Atomizers,4,50.57,2023-05-05
Vape Juice 60ml,27,34.54,2023-05-05
Atomizers,6,73.56,2023-05-05
Atomizers,4,43.99,2023-05-05
Tanks,12,36.8,2023-05-05
Tanks,9,72.89,2023-05-05
Starter Kit,4,47.22,2023-05-05
Starter Kit,6,29.52,2023-05-05
Pod Kit,20,55.2,2023-05-05
E-Liquid Premium,14,46.4,2023-05-05
Battery 18650,5,13.59,2023-05-06
Batteries,17,29.26,2023-05-06
Battery 18650,3,18.78,2023-05-06
Drip Tips,7,24.42,2023-05-06
Chargers,9,31.02,2023-05-06
Cotton Wicking,19,35.87,2023-05-06
Charger,10,14.29,2023-05-06
Tank Glass,1,18.4,2023-05-06
Tank Glass,5,30.98,2023-05-06
Tank Glass,1,16.18,2023-05-06
Chargers,6,5.0,2023-05-06
Nicotine Pods,27,45.49,2023-05-06
Battery 18650,4,29.61,2023-05-06
E-Liquid Premium,20,42.92,2023-05-06
Zero Nicotine 30ml,14,50.53,2023-05-06
Vape Mod XL,13,69.44,2023-05-06
Starter Kit,3,24.55,2023-05-06
Starter Kit,5,33.2,2023-05-06
Tanks,7,58.63,2023-05-06
Pod Kit,25,62.56,2023-05-06
Atomizers,17,16.78,2023-05-06
Vape Juice 30ml,16,29.81,2023-05-06
Vape Juice 30ml,16,17.84,2023-05-06
Vape Juice 60ml,18,37.21,2023-05-06
Tanks,5,65.95,2023-05-06
Nicotine Pods,7,21.65,2023-05-07
Tank Glass,2,13.97,2023-05-07
Charger,10,21.48,2023-05-07
Chargers,13,28.06,2023-05-07
Battery 18650,10,17.12,2023-05-07
Batteries,23,35.33,2023-05-07
Cotton Wicking,26,39.98,2023-05-07
Nicotine Pods,8,51.91,2023-05-07
Zero Nicotine 30ml,9,15.65,2023-05-07
Tank Glass,2,8.93,2023-05-07
E-Liquid Premium,33,29.53,2023-05-07
Vape Juice 60ml,17,35.39,2023-05-07
Vape Juice 30ml,37,49.31,2023-05-07
Atomizers,15,100.32,2023-05-07
Tanks,22,40.42,2023-05-07
Starter Kit,9,42.98,2023-05-07
Vape Mod XL,11,37.41,2023-05-07
Pod Kit,8,58.67,2023-05-07
Pod Kit,9,55.33,2023-05-07
Zero Nicotine 30ml,12,29.36,2023-05-07
Replacement Coils,12,14.12,2023-05-08
Cotton Wicking,18,5.0,2023-05-08
Batteries,16,61.1,2023-05-08
Drip Tips,7,25.35,2023-05-08
Charger,1,27.4,2023-05-08
Charger,1,26.31,2023-05-08
Tank Glass,11,16.24,2023-05-08
Chargers,9,78.56,2023-05-08
E-Liquid Premium,7,53.85,2023-05-08
Nicotine Pods,12,37.47,2023-05-08
E-Liquid Premium,10,43.45,2023-05-08
Vape Juice 60ml,8,33.68,2023-05-08
Vape Juice 60ml,9,39.18,2023-05-08
Vape Juice 30ml,16,42.9,2023-05-08
Atomizers,9,53.48,2023-05-08
Tanks,16,56.22,2023-05-08
Pod Kit,12,57.01,2023-05-08
Pod Kit,8,56.34,2023-05-08
E-Liquid Premium,10,59.71,2023-05-08
Cotton Wicking,17,51.16,2023-05-09
Batteries,7,38.97,2023-05-09
Batteries,6,22.44,2023-05-09
Battery 18650,5,23.66,2023-05-09
Battery 18650,6,14.68,2023-05-09
Drip Tips,4,35.44,2023-05-09
Chargers,6,36.59,2023-05-09
Tank Glass,9,14.27,2023-05-09
Drip Tips,3,31.01,2023-05-09
Drip Tips,2,31.17,2023-05-09
Replacement Coils,6,22.42,2023-05-09
Chargers,5,45.7,2023-05-09
Replacement Coils,5,23.36,2023-05-09
Pod Kit,11,61.89,2023-05-09
Zero Nicotine 30ml,13,13.42,2023-05-09
E-Liquid Premium,25,38.96,2023-05-09
Vape Juice 60ml,21,27.56,2023-05-09
Vape Juice 30ml,24,39.59,2023-05-09
Atomizers,4,30.19,2023-05-09
Atomizers,7,66.77,2023-05-09
Tanks,11,66.6,2023-05-09
Starter Kit,3,21.15,2023-05-09
Starter Kit,4,32.92,2023-05-09
Vape Mod XL,7,57.69,2023-05-09
Pod Kit,12,52.55,2023-05-09
Nicotine Pods,12,5.0,2023-05-09
Replacement Coils,10,24.1,2023-05-10
Cotton Wicking,13,59.81,2023-05-10
Batteries,5,33.41,2023-05-10
Batteries,7,35.13,2023-05-10
Drip Tips,6,35.51,2023-05-10
Chargers,7,25.11,2023-05-10
Charger,7,21.65,2023-05-10
Tank Glass,6,20.05,2023-05-10
Nicotine Pods,10,63.51,2023-05-10
Battery 18650,5,25.04,2023-05-10
Zero Nicotine 30ml,11,32.71,2023-05-10
Vape Juice 30ml,11,50.85,2023-05-10
Vape Juice 60ml,6,45.04,2023-05-10
Vape Juice 60ml,3,40.14,2023-05-10
Vape Juice 30ml,9,53.38,2023-05-10
Atomizers,9,50.65,2023-05-10
Starter Kit,7,37.8,2023-05-10
Vape Mod XL,2,51.94,2023-05-10
Vape Mod XL,5,63.99,2023-05-10
Pod Kit,5,41.78,2023-05-10
Pod Kit,4,65.45,2023-05-10
E-Liquid Premium,21,53.75,2023-05-10
Replacement Coils,3,5.87,2023-05-11
Cotton Wicking,2,65.18,2023-05-11
Cotton Wicking,5,14.21,2023-05-11
Cotton Wicking,4,8.45,2023-05-11
Batteries,7,37.63,2023-05-11
Charger,1,17.78,2023-05-11
Chargers,14,60.82,2023-05-11
Charger,1,21.27,2023-05-11
Drip Tips,5,57.95,2023-05-11
Drip Tips,2,22.96,2023-05-11
Replacement Coils,5,33.92,2023-05-11
Battery 18650,8,23.64,2023-05-11
Nicotine Pods,20,35.15,2023-05-11
Batteries,4,28.2,2023-05-11
E-Liquid Premium,23,40.7,2023-05-11
Pod Kit,19,52.9,2023-05-11
Vape Mod XL,2,57.14,2023-05-11
Zero Nicotine 30ml,15,35.52,2023-05-11
Starter Kit,7,45.2,2023-05-11
Tanks,12,55.17,2023-05-11
Vape Mod XL,3,51.98,2023-05-11
Vape Juice 30ml,10,46.28,2023-05-11
Vape Juice 30ml,9,59.43,2023-05-11
Vape Juice 30ml,10,42.28,2023-05-11
Vape Juice 60ml,8,34.83,2023-05-11
Vape Juice 60ml,8,47.73,2023-05-11
Atomizers,9,55.97,2023-05-11
Cotton Wicking,6,38.1,2023-05-12
Cotton Wicking,5,10.31,2023-05-12
Cotton Wicking,4,20.37,2023-05-12
Battery 18650,8,17.52,2023-05-12
Charger,3,19.79,2023-05-12
Charger,1,7.31,2023-05-12
Charger,3,24.77,2023-05-12
Drip Tips,10,24.38,2023-05-12
Replacement Coils,17,26.04,2023-05-12
Chargers,14,30.84,2023-05-12
Nicotine Pods,23,54.75,2023-05-12
Tank Glass,9,5.0,2023-05-12
E-Liquid Premium,31,56.18,2023-05-12
Starter Kit,3,23.92,2023-05-12
Starter Kit,3,31.84,2023-05-12
Starter Kit,1,23.95,2023-05-12
Tanks,17,68.0,2023-05-12
Vape Mod XL,9,64.19,2023-05-12
Atomizers,3,61.65,2023-05-12
Vape Juice 30ml,25,52.93,2023-05-12
Vape Juice 60ml,25,35.21,2023-05-12
Atomizers,6,64.91,2023-05-12
Zero Nicotine 30ml,16,46.0,2023-05-12
Drip Tips,6,43.32,2023-05-13
Zero Nicotine 30ml,15,30.84,2023-05-13
Drip Tips,5,40.16,2023-05-13
Tank Glass,10,17.33,2023-05-13
Charger,7,14.92,2023-05-13
Chargers,13,10.47,2023-05-13
Battery 18650,9,24.48,2023-05-13
Batteries,15,39.1,2023-05-13
Cotton Wicking,18,5.0,2023-05-13
Replacement Coils,11,33.78,2023-05-13
Nicotine Pods,23,57.4,2023-05-13
E-Liquid Premium,11,60.98,2023-05-13
Vape Juice 30ml,35,55.48,2023-05-13
Atomizers,9,70.69,2023-05-13
Atomizers,10,26.04,2023-05-13
Tanks,17,64.59,2023-05-13
Starter Kit,8,43.16,2023-05-13
Vape Mod XL,5,20.88,2023-05-13
Vape Mod XL,3,65.51,2023-05-13
Vape Mod XL,4,56.16,2023-05-13
Pod Kit,18,32.51,2023-05-13
E-Liquid Premium,15,66.28,2023-05-13
Cotton Wicking,10,68.78,2023-05-14
Cotton Wicking,7,47.58,2023-05-14
Batteries,10,43.64,2023-05-14
Batteries,9,12.58,2023-05-14
Drip Tips,8,21.43,2023-05-14
Charger,7,17.32,2023-05-14
Tank Glass,5,5.0,2023-05-14
Tank Glass,6,5.68,2023-05-14
Replacement Coils,16,29.05,2023-05-14
Battery 18650,8,32.88,2023-05-14
Nicotine Pods,24,47.66,2023-05-14
Pod Kit,24,62.19,2023-05-14
Zero Nicotine 30ml,7,47.52,2023-05-14
E-Liquid Premium,23,48.88,2023-05-14
Vape Juice 60ml,18,34.71,2023-05-14
Vape Juice 30ml,14,52.87,2023-05-14
Vape Juice 30ml,14,59.75,2023-05-14
Atomizers,13,87.77,2023-05-14
Tanks,12,57.88,2023-05-14
Starter Kit,7,38.59,2023-05-14
Vape Mod XL,9,46.88,2023-05-14
Zero Nicotine 30ml,11,47.11,2023-05-14
Nicotine Pods,3,91.18,2023-05-15
Replacement Coils,12,22.66,2023-05-15
Cotton Wicking,16,39.57,2023-05-15
Batteries,9,22.48,2023-05-15
Drip Tips,1,40.3,2023-05-15
Chargers,7,25.15,2023-05-15
Tank Glass,10,14.43,2023-05-15
Nicotine Pods,3,14.97,2023-05-15
Drip Tips,5,24.11,2023-05-15
Battery 18650,6,31.74,2023-05-15
Zero Nicotine 30ml,9,26.09,2023-05-15
Nicotine Pods,3,22.56,2023-05-15
E-Liquid Premium,5,50.68,2023-05-15
E-Liquid Premium,7,30.04,2023-05-15
Pod Kit,15,63.27,2023-05-15
Vape Mod XL,1,46.1,2023-05-15
Vape Mod XL,3,55.36,2023-05-15
Vape Mod XL,5,91.95,2023-05-15
Tanks,7,55.88,2023-05-15
Tanks,8,51.8,2023-05-15
Atomizers,10,47.13,2023-05-15
Vape Juice 60ml,20,38.58,2023-05-15
Starter Kit,7,27.41,2023-05-15
Chargers,3,25.56,2023-05-16
Batteries,6,45.84,2023-05-16
Batteries,6,10.94,2023-05-16
Battery 18650,5,19.62,2023-05-16
Chargers,6,44.0,2023-05-16
Charger,1,11.76,2023-05-16
Drip Tips,5,29.3,2023-05-16
Charger,2,23.63,2023-05-16
Tank Glass,2,20.56,2023-05-16
Tank Glass,6,8.34,2023-05-16
Drip Tips,1,25.68,2023-05-16
Cotton Wicking,1,5.0,2023-05-16
Charger,1,17.22,2023-05-16
Cotton Wicking,4,26.02,2023-05-16
Atomizers,7,72.83,2023-05-16
Nicotine Pods,8,12.09,2023-05-16
Pod Kit,5,59.06,2023-05-16
Pod Kit,8,45.59,2023-05-16
Vape Mod XL,6,25.04,2023-05-16
Tanks,8,60.46,2023-05-16
Tanks,6,54.23,2023-05-16
Cotton Wicking,3,20.03,2023-05-16
